close,high,low,open,timestamp,volume
16935,16944,16929,16934,1669957200,35.88972467
16913,16949,16913,16937,1669960800,28.70568694
16961,16971,16913,16913,1669964400,50.30220430
16967,16971,16943,16961,1669968000,47.75274056
16968,16987,16964,16968,1669971600,35.37210901
16965,16973,16954,16970,1669975200,24.74988603
17000,17042,16962,16967,1669978800,130.13093906
17036,17044,16993,17002,1669982400,109.00591232
16897,17102,16800,17035,1669986000,416.47755967
16911,16973,16862,16893,1669989600,111.88431473
16943,16977,16900,16913,1669993200,114.28362153
16937,16946,16907,16946,1669996800,55.04424754
16939,16972,16935,16938,1670000400,64.42780096
16957,16965,16939,16939,1670004000,53.43825194
16991,16998,16935,16958,1670007600,180.26700026
17032,17052,16986,16991,1670011200,105.28588781
17014,17048,17001,17031,1670014800,90.16491005
17047,17076,17016,17016,1670018400,72.27652101
17095,17095,17047,17047,1670022000,139.70696539
17050,17150,17045,17095,1670025600,134.52864878
17056,17056,17019,17052,1670029200,57.20129662
17032,17060,17021,17059,1670032800,49.87223191
17022,17034,17019,17033,1670036400,36.11549831
17022,17036,17014,17024,1670040000,37.86397252
17019,17028,17017,17020,1670043600,20.39006796
16980,17020,16952,17020,1670047200,78.19765094
16969,16983,16933,16981,1670050800,40.33679986
16946,16967,16928,16967,1670054400,32.46223838
16982,16984,16938,16948,1670058000,44.66465441
16967,16985,16958,16982,1670061600,20.56062066
16953,16962,16898,16962,1670065200,73.63286582
16965,16965,16939,16950,1670068800,29.25201619
16954,16965,16949,16965,1670072400,24.10693356
16948,16957,16928,16952,1670076000,47.09582018
16965,16977,16948,16948,1670079600,40.94551595
16955,16968,16954,16965,1670083200,16.41607365
16978,16985,16947,16954,1670086800,37.96930340
16972,16987,16957,16978,1670090400,31.45054102
16957,16973,16944,16972,1670094000,44.29899545
16935,16960,16920,16957,1670097600,47.87322593
16948,16948,16884,16934,1670101200,75.59866440
16903,16950,16868,16948,1670104800,93.18994123
16886,16914,16878,16901,1670108400,62.98906801
16951,16964,16890,16893,1670112000,58.11002143
16970,17044,16946,16951,1670115600,87.81743974
16977,16987,16952,16970,1670119200,36.89410123
16962,16981,16959,16977,1670122800,33.34228570
17010,17018,16965,16966,1670126400,31.68576305
17020,17065,17009,17012,1670130000,84.06240240
17003,17044,17001,17019,1670133600,41.46727858
16998,17012,16996,17003,1670137200,19.46719069
17019,17045,16985,16999,1670140800,79.43236431
17006,17031,17006,17018,1670144400,40.66610336
17007,17008,16998,17006,1670148000,23.06979977
16948,17006,16912,17006,1670151600,93.83657597
16963,16963,16935,16948,1670155200,43.47098293
16946,16963,16926,16963,1670158800,43.13466543
17010,17011,16939,16947,1670162400,85.33254167
17033,17062,17012,17012,1670166000,135.43403504
17016,17091,17010,17036,1670169600,108.53625658
17046,17055,16980,17016,1670173200,91.29471937
17068,17154,17044,17056,1670176800,190.13422188
17091,17102,17053,17071,1670180400,51.25344124
17094,17126,17074,17094,1670184000,24.05588452
17117,17120,17079,17094,1670187600,44.85149688
17105,17132,17083,17114,1670191200,43.77863981
17114,17195,17089,17105,1670194800,112.42338972
17211,17266,17084,17113,1670198400,149.03667663
17273,17291,17203,17212,1670202000,60.20515917
17244,17332,17244,17274,1670205600,91.34140447
17202,17279,17195,17253,1670209200,51.33866047
17364,17418,17201,17201,1670212800,191.66950813
17342,17406,17314,17362,1670216400,64.11190912
17312,17350,17289,17345,1670220000,83.60500700
17318,17363,17300,17313,1670223600,89.78243586
17359,17385,17308,17318,1670227200,96.64067471
17309,17361,17291,17360,1670230800,112.86199940
17302,17329,17290,17311,1670234400,54.77467497
17315,17315,17289,17303,1670238000,38.70771539
17257,17314,17240,17314,1670241600,72.80182699
17236,17283,17218,17256,1670245200,68.22811381
17210,17250,17176,17235,1670248800,135.57559627
